In scenario USA_ArgoverseMIA-4_0_T-1, 49 obstacles before cleaning, 39 after cleaning, 10 removed in total
In scenario USA_ArgoversePIT-615_0_T-1, 45 obstacles before cleaning, 10 after cleaning, 35 removed in total
In scenario USA_ArgoverseMIA-667_0_T-1, 25 obstacles before cleaning, 16 after cleaning, 9 removed in total
In scenario USA_ArgoverseMIA-78_0_T-1, 19 obstacles before cleaning, 13 after cleaning, 6 removed in total
In scenario USA_ArgoversePIT-850_0_T-1, 19 obstacles before cleaning, 15 after cleaning, 4 removed in total
In scenario USA_ArgoverseMIA-360_0_T-1, 39 obstacles before cleaning, 14 after cleaning, 25 removed in total
In scenario USA_ArgoverseMIA-816_0_T-1, 27 obstacles before cleaning, 20 after cleaning, 7 removed in total
In scenario USA_ArgoverseMIA-471_0_T-1, 11 obstacles before cleaning, 6 after cleaning, 5 removed in total
In scenario USA_ArgoversePIT-134_0_T-1, 18 obstacles before cleaning, 9 after cleaning, 9 removed in total
In scenario USA_ArgoverseMIA-665_0_T-1, 23 obstacles before cleaning, 14 after cleaning, 9 removed in total
In scenario USA_ArgoverseMIA-833_0_T-1, 46 obstacles before cleaning, 24 after cleaning, 22 removed in total
In scenario USA_ArgoverseMIA-571_0_T-1, 32 obstacles before cleaning, 21 after cleaning, 11 removed in total
In scenario USA_ArgoverseMIA-672_0_T-1, 42 obstacles before cleaning, 28 after cleaning, 14 removed in total
In scenario USA_ArgoversePIT-525_0_T-1, 20 obstacles before cleaning, 8 after cleaning, 12 removed in total
In scenario USA_ArgoversePIT-165_0_T-1, 56 obstacles before cleaning, 31 after cleaning, 25 removed in total
In scenario USA_ArgoverseMIA-611_0_T-1, 23 obstacles before cleaning, 8 after cleaning, 15 removed in total
In scenario USA_ArgoversePIT-669_0_T-1, 8 obstacles before cleaning, 4 after cleaning, 4 removed in total
In scenario USA_ArgoversePIT-35_0_T-1, 11 obstacles before cleaning, 6 after cleaning, 5 removed in total
In scenario USA_ArgoversePIT-473_0_T-1, 9 obstacles before cleaning, 7 after cleaning, 2 removed in total
In scenario USA_ArgoversePIT-251_0_T-1, 16 obstacles before cleaning, 9 after cleaning, 7 removed in total
In scenario USA_ArgoverseMIA-118_0_T-1, 16 obstacles before cleaning, 12 after cleaning, 4 removed in total
In scenario USA_ArgoversePIT-615_0_T-1, 45 obstacles before cleaning, 10 after cleaning, 35 removed in total
In scenario USA_ArgoverseMIA-896_0_T-1, 43 obstacles before cleaning, 21 after cleaning, 22 removed in total
In scenario USA_ArgoverseMIA-667_0_T-1, 25 obstacles before cleaning, 16 after cleaning, 9 removed in total
In scenario USA_ArgoverseMIA-78_0_T-1, 19 obstacles before cleaning, 13 after cleaning, 6 removed in total
In scenario USA_ArgoversePIT-850_0_T-1, 19 obstacles before cleaning, 15 after cleaning, 4 removed in total
In scenario USA_ArgoverseMIA-816_0_T-1, 27 obstacles before cleaning, 20 after cleaning, 7 removed in total
In scenario USA_ArgoverseMIA-471_0_T-1, 11 obstacles before cleaning, 6 after cleaning, 5 removed in total
In scenario USA_ArgoverseMIA-360_0_T-1, 39 obstacles before cleaning, 14 after cleaning, 25 removed in total
In scenario USA_ArgoverseMIA-665_0_T-1, 23 obstacles before cleaning, 14 after cleaning, 9 removed in total
In scenario USA_ArgoversePIT-134_0_T-1, 18 obstacles before cleaning, 9 after cleaning, 9 removed in total
In scenario USA_ArgoverseMIA-833_0_T-1, 46 obstacles before cleaning, 24 after cleaning, 22 removed in total
In scenario USA_ArgoversePIT-525_0_T-1, 20 obstacles before cleaning, 8 after cleaning, 12 removed in total
In scenario USA_ArgoverseMIA-672_0_T-1, 42 obstacles before cleaning, 28 after cleaning, 14 removed in total
In scenario USA_ArgoversePIT-165_0_T-1, 56 obstacles before cleaning, 31 after cleaning, 25 removed in total
In scenario USA_ArgoverseMIA-571_0_T-1, 32 obstacles before cleaning, 21 after cleaning, 11 removed in total
In scenario USA_ArgoverseMIA-611_0_T-1, 23 obstacles before cleaning, 8 after cleaning, 15 removed in total
In scenario USA_ArgoversePIT-669_0_T-1, 8 obstacles before cleaning, 4 after cleaning, 4 removed in total
In scenario USA_ArgoversePIT-35_0_T-1, 11 obstacles before cleaning, 6 after cleaning, 5 removed in total
In scenario USA_ArgoversePIT-473_0_T-1, 9 obstacles before cleaning, 7 after cleaning, 2 removed in total
In scenario USA_ArgoversePIT-251_0_T-1, 16 obstacles before cleaning, 9 after cleaning, 7 removed in total
In scenario USA_ArgoverseMIA-118_0_T-1, 16 obstacles before cleaning, 12 after cleaning, 4 removed in total
In scenario USA_ArgoverseMIA-896_0_T-1, 43 obstacles before cleaning, 21 after cleaning, 22 removed in total
In scenario USA_ArgoversePIT-615_0_T-1, 45 obstacles before cleaning, 10 after cleaning, 35 removed in total
In scenario USA_ArgoverseMIA-667_0_T-1, 25 obstacles before cleaning, 16 after cleaning, 9 removed in total
In scenario USA_ArgoverseMIA-78_0_T-1, 19 obstacles before cleaning, 13 after cleaning, 6 removed in total
In scenario USA_ArgoversePIT-850_0_T-1, 19 obstacles before cleaning, 15 after cleaning, 4 removed in total
In scenario USA_ArgoverseMIA-816_0_T-1, 27 obstacles before cleaning, 20 after cleaning, 7 removed in total
In scenario USA_ArgoverseMIA-360_0_T-1, 39 obstacles before cleaning, 14 after cleaning, 25 removed in total
In scenario USA_ArgoverseMIA-471_0_T-1, 11 obstacles before cleaning, 6 after cleaning, 5 removed in total
In scenario USA_ArgoverseMIA-665_0_T-1, 23 obstacles before cleaning, 14 after cleaning, 9 removed in total
In scenario USA_ArgoversePIT-134_0_T-1, 18 obstacles before cleaning, 9 after cleaning, 9 removed in total
In scenario USA_ArgoverseMIA-833_0_T-1, 46 obstacles before cleaning, 24 after cleaning, 22 removed in total
In scenario USA_ArgoverseMIA-672_0_T-1, 42 obstacles before cleaning, 28 after cleaning, 14 removed in total
In scenario USA_ArgoversePIT-525_0_T-1, 20 obstacles before cleaning, 8 after cleaning, 12 removed in total
In scenario USA_ArgoversePIT-165_0_T-1, 56 obstacles before cleaning, 31 after cleaning, 25 removed in total
In scenario USA_ArgoverseMIA-611_0_T-1, 23 obstacles before cleaning, 8 after cleaning, 15 removed in total
In scenario USA_ArgoversePIT-669_0_T-1, 8 obstacles before cleaning, 4 after cleaning, 4 removed in total
In scenario USA_ArgoversePIT-35_0_T-1, 11 obstacles before cleaning, 6 after cleaning, 5 removed in total
In scenario USA_ArgoversePIT-473_0_T-1, 9 obstacles before cleaning, 7 after cleaning, 2 removed in total
In scenario USA_ArgoverseMIA-118_0_T-1, 16 obstacles before cleaning, 12 after cleaning, 4 removed in total
In scenario USA_ArgoversePIT-251_0_T-1, 16 obstacles before cleaning, 9 after cleaning, 7 removed in total
In scenario USA_ArgoversePIT-850_0_T-1, 19 obstacles before cleaning, 15 after cleaning, 4 removed in total
In scenario USA_ArgoversePIT-615_0_T-1, 45 obstacles before cleaning, 10 after cleaning, 35 removed in total
In scenario USA_ArgoverseMIA-896_0_T-1, 43 obstacles before cleaning, 21 after cleaning, 22 removed in total
In scenario USA_ArgoverseMIA-667_0_T-1, 25 obstacles before cleaning, 16 after cleaning, 9 removed in total
In scenario USA_ArgoverseMIA-78_0_T-1, 19 obstacles before cleaning, 13 after cleaning, 6 removed in total
In scenario USA_ArgoverseMIA-360_0_T-1, 39 obstacles before cleaning, 14 after cleaning, 25 removed in total
In scenario USA_ArgoverseMIA-816_0_T-1, 27 obstacles before cleaning, 20 after cleaning, 7 removed in total
In scenario USA_ArgoverseMIA-471_0_T-1, 11 obstacles before cleaning, 6 after cleaning, 5 removed in total
In scenario USA_ArgoverseMIA-665_0_T-1, 23 obstacles before cleaning, 14 after cleaning, 9 removed in total
In scenario USA_ArgoversePIT-134_0_T-1, 18 obstacles before cleaning, 9 after cleaning, 9 removed in total
In scenario USA_ArgoverseMIA-833_0_T-1, 46 obstacles before cleaning, 24 after cleaning, 22 removed in total
In scenario USA_ArgoversePIT-525_0_T-1, 20 obstacles before cleaning, 8 after cleaning, 12 removed in total
In scenario USA_ArgoverseMIA-672_0_T-1, 42 obstacles before cleaning, 28 after cleaning, 14 removed in total
In scenario USA_ArgoverseMIA-571_0_T-1, 32 obstacles before cleaning, 21 after cleaning, 11 removed in total
In scenario USA_ArgoversePIT-165_0_T-1, 56 obstacles before cleaning, 31 after cleaning, 25 removed in total
In scenario USA_ArgoverseMIA-4_0_T-1, 49 obstacles before cleaning, 45 after cleaning, 4 removed in total
In scenario USA_ArgoverseMIA-144_0_T-1, 91 obstacles before cleaning, 80 after cleaning, 11 removed in total
In scenario USA_ArgoverseMIA-144_0_T-1, 91 obstacles before cleaning, 80 after cleaning, 11 removed in total
In scenario USA_ArgoverseMIA-144_0_T-1, 91 obstacles before cleaning, 72 after cleaning, 19 removed in total
In scenario USA_ArgoverseMIA-144_0_T-1, 91 obstacles before cleaning, 56 after cleaning, 35 removed in total
In scenario USA_ArgoverseMIA-144_0_T-1, 91 obstacles before cleaning, 56 after cleaning, 35 removed in total
In scenario USA_ArgoverseMIA-144_0_T-1, 91 obstacles before cleaning, 65 after cleaning, 26 removed in total
In scenario USA_ArgoversePIT-106_0_T-1, 70 obstacles before cleaning, 35 after cleaning, 35 removed in total
In scenario USA_ArgoversePIT-106_0_T-1, 70 obstacles before cleaning, 47 after cleaning, 23 removed in total
In scenario USA_ArgoversePIT-106_0_T-1, 70 obstacles before cleaning, 37 after cleaning, 33 removed in total
In scenario USA_ArgoversePIT-106_0_T-1, 70 obstacles before cleaning, 21 after cleaning, 49 removed in total
In scenario USA_ArgoversePIT-106_0_T-1, 70 obstacles before cleaning, 26 after cleaning, 44 removed in total
In scenario USA_ArgoversePIT-106_0_T-1, 70 obstacles before cleaning, 26 after cleaning, 44 removed in total
In scenario USA_ArgoversePIT-106_0_T-1, 70 obstacles before cleaning, 68 after cleaning, 2 removed in total
In scenario USA_ArgoverseMIA-110_0_T-1, 47 obstacles before cleaning, 38 after cleaning, 9 removed in total
In scenario USA_ArgoverseMIA-4_0_T-1, 49 obstacles before cleaning, 46 after cleaning, 3 removed in total
In scenario USA_ArgoverseMIA-4_0_T-1, 49 obstacles before cleaning, 14 after cleaning, 35 removed in total
In scenario USA_ArgoverseMIA-4_0_T-1, 49 obstacles before cleaning, 9 after cleaning, 40 removed in total
In scenario USA_ArgoverseMIA-4_0_T-1, 49 obstacles before cleaning, 37 after cleaning, 12 removed in total
In scenario USA_ArgoverseMIA-4_0_T-1, 49 obstacles before cleaning, 37 after cleaning, 12 removed in total
In scenario USA_ArgoverseMIA-4_0_T-1, 49 obstacles before cleaning, 37 after cleaning, 12 removed in total
In scenario USA_ArgoverseMIA-4_0_T-1, 49 obstacles before cleaning,49 after cleaning, 0removed in total
